id,token_id,price,hostess_name,image_uri,commission_rate,payout,buyer,affiliate,contract_address,tier,paid_at
10.1, 10, 80000000000000000, Aurora Seductra, https://ik.imagekit.io/blockster/aurora.jpg, 20, 16000000000000000, 0xAe80d2Cacd0ee73B73EA76Eb185113AdC6BCbd6A, 0xf2f8d5B78fbB8dEA6d0cD6f0De44fCe2287B30e8, 0x7176d2edd83aD037bd94b7eE717bd9F661F560DD, 1, 1722575914000000
10.2, 10, 80000000000000000, Aurora Seductra, https://ik.imagekit.io/blockster/aurora.jpg, 5, 4000000000000000, 0xAe80d2Cacd0ee73B73EA76Eb185113AdC6BCbd6A, 0x937EB70eb76965b827Af47e0F4C07DB503Ed824c, 0x7176d2edd83aD037bd94b7eE717bd9F661F560DD, 2, 1722575914000000
11.1, 11, 80000000000000000, Vivienne Allure, https://ik.imagekit.io/blockster/vivienne.jpg, 20, 16000000000000000, 0x60Cf089F08Ea3fd0aE62552C8dd96F3b4c946251, 0x20670301CD973De5129700D5f5326C26FD8463be, 0x7176d2edd83aD037bd94b7eE717bd9F661F560DD, 1, 1722576156000000
11.2, 11, 80000000000000000, Vivienne Allure, https://ik.imagekit.io/blockster/vivienne.jpg, 5, 4000000000000000, 0x60Cf089F08Ea3fd0aE62552C8dd96F3b4c946251, 0x315443Bf8fBA3d9A38b11300E921a97b991d8C24, 0x7176d2edd83aD037bd94b7eE717bd9F661F560DD, 2, 1722576156000000
12.1, 12, 80000000000000000, Vivienne Allure, https://ik.imagekit.io/blockster/vivienne.jpg, 20, 16000000000000000, 0x60Cf089F08Ea3fd0aE62552C8dd96F3b4c946251, 0x20670301CD973De5129700D5f5326C26FD8463be, 0x7176d2edd83aD037bd94b7eE717bd9F661F560DD, 1, 1722576156000000
12.2, 12, 80000000000000000, Vivienne Allure, https://ik.imagekit.io/blockster/vivienne.jpg, 5, 4000000000000000, 0x60Cf089F08Ea3fd0aE62552C8dd96F3b4c946251, 0x315443Bf8fBA3d9A38b11300E921a97b991d8C24, 0x7176d2edd83aD037bd94b7eE717bd9F661F560DD, 2, 1722576156000000
13.1, 13, 80000000000000000, Vivienne Allure, https://ik.imagekit.io/blockster/vivienne.jpg, 20, 16000000000000000, 0x60Cf089F08Ea3fd0aE62552C8dd96F3b4c946251, 0x20670301CD973De5129700D5f5326C26FD8463be, 0x7176d2edd83aD037bd94b7eE717bd9F661F560DD, 1, 1722576156000000
13.2, 13, 80000000000000000, Vivienne Allure, https://ik.imagekit.io/blockster/vivienne.jpg, 5, 4000000000000000, 0x60Cf089F08Ea3fd0aE62552C8dd96F3b4c946251, 0x315443Bf8fBA3d9A38b11300E921a97b991d8C24, 0x7176d2edd83aD037bd94b7eE717bd9F661F560DD, 2, 1722576156000000
14.1, 14, 80000000000000000, Vivienne Allure, https://ik.imagekit.io/blockster/vivienne.jpg, 20, 16000000000000000, 0x60Cf089F08Ea3fd0aE62552C8dd96F3b4c946251, 0x20670301CD973De5129700D5f5326C26FD8463be, 0x7176d2edd83aD037bd94b7eE717bd9F661F560DD, 1, 1722576156000000
14.2, 14, 80000000000000000, Vivienne Allure, https://ik.imagekit.io/blockster/vivienne.jpg, 5, 4000000000000000, 0x60Cf089F08Ea3fd0aE62552C8dd96F3b4c946251, 0x315443Bf8fBA3d9A38b11300E921a97b991d8C24, 0x7176d2edd83aD037bd94b7eE717bd9F661F560DD, 2, 1722576156000000
